Customer_ID,Age,Annual_Income,Spending_Score,Purchase_Frequency,Transaction_Amount
8270.0,31.0,75851.59221162635,0.76900922142827,17,129.72418999798637
1860.0,48.0,44460.18376448929,0.6097887341723373,25,91.4792649887382
6390.0,17.0,43677.75560464119,0.21809273573888968,9,130.57381164242392
6191.0,34.0,48666.812544226654,0.8191876366119567,0,72.39584567729152
6734.0,44.0,46080.33402862866,0.6474619297953417,3,156.39907672471216
7265.0,41.0,23764.20705102324,0.2212759386128374,28,63.79226905232831
1466.0,45.0,58624.47792752438,0.4807840728337501,16,87.57954949404291
5426.0,55.0,37693.67772963625,0.9975962969053896,16,58.02928405031184
6578.0,51.0,45142.72981212688,0.32844566965839855,4,82.82589920165697
9322.0,23.0,76390.09302592745,0.11652379070241983,22,77.10182500151367
2685.0,18.0,64167.31372771045,0.021584604713697848,2,-0.8197543522371831
1769.0,38.0,74182.97476112415,0.18462852292410584,6,101.66908998731252
3433.0,15.0,60950.54020230135,0.8583909801731907,9,34.52469028833481
6311.0,38.0,56048.9375400602,0.156137113764496,26,65.77390897851328
6051.0,40.0,49180.6499941269,0.8629756980158846,23,118.08106383121202
7420.0,52.0,38741.04706605861,0.08666522092743097,6,11.302615884261613
2184.0,42.0,66269.06542184952,0.9069903766336654,16,91.9659225101502
5555.0,54.0,42288.30465284558,0.2563844261389794,28,157.27885121184732
4385.0,38.0,52044.24464080907,0.6117011010825231,16,78.3786504439606
7396.0,23.0,63696.70203181906,0.15971128066699172,6,173.12102919778346
9666.0,43.0,35349.090860283184,0.3901513523935573,5,153.7907881326784
3558.0,48.0,33670.47791225558,0.0857160573943216,8,118.20159184382275
8849.0,38.0,87741.58155809224,0.5797157496919987,7,98.7927276424402
3047.0,49.0,37099.08128213232,0.34595179704854645,28,100.33651751709654
3747.0,33.0,74251.03049724785,0.8524697506841805,13,124.49643035334094
1189.0,40.0,49204.949844457,0.1818112793942823,21,199.9485459974444
3734.0,33.0,43611.86939852347,0.2800304427346097,5,125.04353718067524
4005.0,58.0,45100.27761287398,0.17724726767178323,8,174.42356089279568
5658.0,43.0,49066.746467966,0.5640027142999561,27,42.04625371154791
2899.0,23.0,70068.69638864585,0.11170802694517601,19,72.98725201473215
8734.0,53.0,61341.51105780993,0.18935546074625897,24,100.83064631515794
2267.0,27.0,46825.78682574085,0.6787254490298861,10,167.17614056677468
2528.0,35.0,22012.566813738147,0.07435727707033193,10,10.423178874013743
4556.0,39.0,50309.26977758616,0.7434305207239023,7,250.88769738743684
4890.0,40.0,51992.53914313239,0.10429073934389915,2,99.98514067839668
9838.0,39.0,68877.75301264424,0.5856791937024671,10,158.8999223406252
6393.0,23.0,27948.106357220197,0.9981997140348501,3,99.19766260244316
9792.0,39.0,42597.295564355605,0.17388386785756785,22,59.21618716728513
9433.0,46.0,42123.960165288,0.2611195365644811,2,185.66697771372677
8513.0,45.0,49161.81868265924,0.8987687482273784,12,90.33419113890773
3612.0,21.0,51365.65956047903,0.6264967405826016,18,63.75070066508223
8041.0,28.0,56576.14078308892,0.4926766826434217,7,119.2323581382779
7235.0,24.0,21577.111212428597,0.5628844896675954,20,129.80360720687202
6486.0,38.0,52594.66720279865,0.2955452382957679,27,116.74188373919372
8099.0,19.0,53684.751906715006,0.8556429861345186,20,120.81416269778984
1775.0,23.0,51127.26839312029,0.7455368939870617,23,119.03543331529606
9226.0,28.0,47335.75688339973,0.642684479729276,21,161.65675484074063
2585.0,34.0,58522.16859010197,0.5782977190858921,0,67.5916442520468
4943.0,13.0,35401.92341329109,0.512031868007747,20,136.12184131961973
8555.0,39.0,59205.65739386915,0.9760729426103798,7,-23.22421680534113
4073.0,31.0,68752.17225170179,0.20602064134075657,29,130.10073967067214
2021.0,28.0,24858.45269131137,0.14194366247776935,8,175.375559808332
8989.0,34.0,31466.44980036112,0.989828211324499,10,20.563076380972436
7873.0,40.0,49364.0388755046,0.6524738442468271,28,172.12167312882127
6675.0,48.0,48110.82251175104,0.30597782907058413,28,72.38592514067464
1161.0,45.0,61346.27076005607,0.24900515405845647,9,109.96774922124408
5297.0,57.0,59118.81726644967,0.05657272581459608,2,164.52611184356005
1995.0,41.0,53931.7443315476,0.13191796154929022,7,69.10689105548467
